"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jax","Top",13,"4.0%","4.6%","8.5%","46%","100%",45,45,46,2,"52.6%","23.6%","-","-","-","-",7.9,"-",461,"21.9%","23.8%",0.41,0.12
"Jayce","Middle",10,"3.0%","21.6%","40.9%","40%","50%",34,26,54,3.4,"62.0%","17.7%","-","-","-","-",8.8,"-",567,"27.5%","23.9%",0.41,0.32
"Jayce","Top",53,"16.2%","21.6%","40.9%","57%","75%",169,152,256,2.8,"62.0%","23.7%","-","-","-","-",8.5,"-",626,"29.8%","24.0%",0.44,0.23
"Jhin","ADC",24,"7.3%","0.3%","7.6%","42%","96%",99,48,149,5.2,"72.3%","13.4%","-","-","-","-",9.2,"-",461,"24.5%","26.2%",0.44,0.26
"Jinx","ADC",29,"8.8%","1.2%","10.1%","48%","69%",98,55,145,4.4,"63.8%","15.2%","-","-","-","-",10.2,"-",547,"28.7%","27.3%",0.39,0.46
"Kai'Sa","ADC",71,"21.6%","6.1%","27.7%","44%","69%",274,168,318,3.5,"65.5%","17.0%","-","-","-","-",9.6,"-",436,"23.1%","27.0%",0.54,0.41
"Kalista","ADC",61,"18.6%","20.1%","38.7%","56%","66%",200,142,354,3.9,"66.3%","17.6%","-","-","-","-",9.6,"-",397,"19.9%","25.6%",0.61,0.43
"Karma","Middle",15,"4.6%","31.7%","42.7%","47%","27%",19,28,128,5.3,"78.2%","13.5%","-","-","-","-",6.9,"-",367,"19.3%","18.8%",0.42,0.25
"Karma","Support",21,"6.4%","31.7%","42.7%","48%","38%",17,60,163,3,"73.2%","23.4%","-","-","-","-",1.8,"-",206,"9.9%","11.6%",1.38,0.39
"Kassadin","Middle",2,"0.6%","0.0%","0.6%","100%","100%",11,3,15,8.7,"55.3%","15.0%","-","-","-","-",9.1,"-",539,"19.1%","22.8%",0.29,0.18
"Kennen","Top",12,"3.7%","3.0%","6.7%","75%","83%",37,32,84,3.8,"59.3%","25.6%","-","-","-","-",7.5,"-",486,"23.1%","20.5%",0.38,0.21
"Kha'Zix","Jungle",4,"1.2%","0.0%","1.2%","50%","75%",11,9,17,3.1,"62.2%","16.7%","-","-","-","-",6.6,"-",382,"17.6%","19.8%",1.67,1.18
